scenario,metric,comparison_pair,condition_a,condition_b,test_type,statistic,p_value,p_value_adj_fdr,effect_size_cohen_d,ci_lower_95,ci_upper_95,n_pairs,caution_flag
grid_3_light,total_travel_time,signal_and_routing_vs_routing_only,signal_and_routing,routing_only,wilcoxon_signed_rank,0.0,0.001953125,0.008413461538461538,3.7903009148010227,47084.875,65112.875,10,none
grid_3_light,total_travel_time,signal_and_routing_vs_combined,signal_and_routing,combined,paired_ttest,1.067432822080011,0.3135710105796996,0.4698321496311218,0.33755189669941066,-13121.249999999998,49898.125,10,none
grid_3_light,total_travel_time,signal_and_routing_vs_combined,signal_and_routing,combined,wilcoxon_signed_rank,15.0,0.232421875,0.35416666666666663,0.33755189669941066,-13121.249999999998,49898.125,10,none
grid_3_light,total_travel_time,signal_only_vs_vsl_only,signal_only,vsl_only,paired_ttest,0.42593161385571615,0.6801627256125544,0.9150537569802535,0.1346914027255396,-3002.4999999999977,4655.0,10,none
grid_3_light,total_travel_time,signal_only_vs_vsl_only,signal_only,vsl_only,wilcoxon_signed_rank,9.0,0.7531523647659145,0.9953163994546599,0.1346914027255396,-3002.4999999999977,4655.0,10,none
grid_3_light,total_travel_time,signal_only_vs_routing_only,signal_only,routing_only,paired_ttest,2.969273842884928,0.01572095033798683,0.0484895570170984,0.9389668340277323,8605.0,37112.25,10,none
grid_3_light,total_travel_time,signal_only_vs_routing_only,signal_only,routing_only,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.9389668340277323,8605.0,37112.25,10,none
grid_3_light,total_travel_time,vsl_only_vs_routing_only,vsl_only,routing_only,paired_ttest,2.8270537926252794,0.01981748091567046,0.05230008878812714,0.8939929052513211,7150.0,36807.49999999999,10,none
grid_3_light,total_travel_time,vsl_only_vs_routing_only,vsl_only,routing_only,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,0.8939929052513211,7150.0,36807.49999999999,10,none
grid_3_light,total_travel_time,combined_vs_signal_only,combined,signal_only,paired_ttest,2.883448519482582,0.01807616461003217,0.049681728498738725,0.9118264837405358,5550.0,25256.249999999993,10,none
grid_3_light,total_travel_time,combined_vs_signal_only,combined,signal_only,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,0.9118264837405358,5550.0,25256.249999999993,10,none
grid_3_light,total_travel_time,combined_vs_vsl_only,combined,vsl_only,paired_ttest,2.771069478639987,0.021715503157770988,0.05404747452600779,0.8762891107077669,5349.000000000001,26314.874999999993,10,none
grid_3_light,total_travel_time,combined_vs_vsl_only,combined,vsl_only,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.8762891107077669,5349.000000000001,26314.874999999993,10,none
grid_3_light,total_travel_time,combined_vs_routing_only,combined,routing_only,paired_ttest,2.945365082416708,0.016343578369602364,0.0484895570170984,0.9314062201166352,14455.0,62456.125,10,none
grid_3_light,total_travel_time,combined_vs_routing_only,combined,routing_only,wilcoxon_signed_rank,0.0,0.027707849358079864,0.0630107437178669,0.9314062201166352,14455.0,62456.125,10,none
grid_3_light,system_congestion,signal_only_vs_baseline,signal_only,baseline,paired_ttest,-0.015384942362988157,0.9880607339125134,1.0,-0.004865145953745557,-0.029234227471390935,0.03611438700627664,10,none
grid_3_light,system_congestion,signal_only_vs_baseline,signal_only,baseline,wilcoxon_signed_rank,18.0,0.375,0.5508196721311476,-0.004865145953745557,-0.029234227471390935,0.03611438700627664,10,none
grid_3_light,system_congestion,vsl_only_vs_baseline,vsl_only,baseline,paired_ttest,2.687320869151762,0.024905576565291125,0.05998762527553991,0.849805475022289,0.03076478976005941,0.16681204569619898,10,none
grid_3_light,system_congestion,vsl_only_vs_baseline,vsl_only,baseline,wilcoxon_signed_rank,0.0,0.043114446783075355,0.08325548344318,0.849805475022289,0.03076478976005941,0.16681204569619898,10,none
grid_3_light,system_congestion,routing_only_vs_baseline,routing_only,baseline,paired_ttest,0.05192542485625735,0.959722355041843,1.0,0.016420261101769452,-0.01722189463270569,0.023957104872646275,10,none
grid_3_light,system_congestion,routing_only_vs_baseline,routing_only,baseline,wilcoxon_signed_rank,6.5,0.7864570351373764,1.0,0.016420261101769452,-0.01722189463270569,0.023957104872646275,10,none
grid_3_light,system_congestion,signal_and_routing_vs_baseline,signal_and_routing,baseline,paired_ttest,3.343277322454082,0.008615145013094249,0.030631626713223996,1.0572371188544099,0.043337264407531974,0.15126059513344614,10,none
